"price","commodity","location","date"
"1424.00","White Maize","Nairobi",2000-01-01
"1467.00","White Maize","Nairobi",2000-02-02
"1392.00","White Maize","Nairobi",2000-03-03
"1404.00","White Maize","Nairobi",2000-04-04
"1496.00","White Maize","Nairobi",2000-05-05
"1685.00","White Maize","Nairobi",2000-06-06
"1681.00","White Maize","Nairobi",2000-07-07
"1655.00","White Maize","Nairobi",2000-08-08
"1544.00","White Maize","Nairobi",2000-09-09
"1488.00","White Maize","Nairobi",2000-10-10
"1520.00","White Maize","Nairobi",2000-11-11
"1490.00","White Maize","Nairobi",2000-12-12
"1413.00","White Maize","Nairobi",2001-01-01
"1335.00","White Maize","Nairobi",2001-02-02
"1298.00","White Maize","Nairobi",2001-03-03
"1244.00","White Maize","Nairobi",2001-04-04
"1191.00","White Maize","Nairobi",2001-05-05
"1182.00","White Maize","Nairobi",2001-06-06
"1063.00","White Maize","Nairobi",2001-07-07
"1000.00","White Maize","Nairobi",2001-08-08
"975.00","White Maize","Nairobi",2001-09-09
"917.00","White Maize","Nairobi",2001-10-10
"804.00","White Maize","Nairobi",2001-11-11
"799.00","White Maize","Nairobi",2001-12-12
"842.00","White Maize","Nairobi",2002-01-01
"838.00","White Maize","Nairobi",2002-02-02
"697.00","White Maize","Nairobi",2002-03-03
"750.00","White Maize","Nairobi",2002-04-04
"883.00","White Maize","Nairobi",2002-05-05
"1048.00","White Maize","Nairobi",2002-06-06
"1000.00","White Maize","Nairobi",2002-07-07
"990.00","White Maize","Nairobi",2002-08-08
"1000.00","White Maize","Nairobi",2002-09-09
"1060.00","White Maize","Nairobi",2002-10-10
"1120.00","White Maize","Nairobi",2002-11-11
"1180.00","White Maize","Nairobi",2002-12-12
"1190.00","White Maize","Nairobi",2003-01-01
"1200.00","White Maize","Nairobi",2003-02-02
"1013.00","White Maize","Nairobi",2003-03-03
"1038.00","White Maize","Nairobi",2003-04-04
"1465.00","White Maize","Nairobi",2003-05-05
"1492.00","White Maize","Nairobi",2003-06-06
"1467.00","White Maize","Nairobi",2003-07-07
"1500.00","White Maize","Nairobi",2003-08-08
"1513.00","White Maize","Nairobi",2003-09-09
"1650.00","White Maize","Nairobi",2003-10-10
"1362.00","White Maize","Nairobi",2003-11-11
"1323.00","White Maize","Nairobi",2003-12-12
"1335.00","White Maize","Nairobi",2004-01-01
"1433.00","White Maize","Nairobi",2004-02-02
"1500.00","White Maize","Nairobi",2004-03-03
"1500.00","White Maize","Nairobi",2004-04-04
"1500.00","White Maize","Nairobi",2004-05-05
"1490.00","White Maize","Nairobi",2004-06-06
"1569.00","White Maize","Nairobi",2004-07-07
"1617.00","White Maize","Nairobi",2004-08-08
"1584.00","White Maize","Nairobi",2004-09-09
"1589.00","White Maize","Nairobi",2004-10-10
"1600.00","White Maize","Nairobi",2004-11-11
"1600.00","White Maize","Nairobi",2004-12-12
"1480.00","White Maize","Nairobi",2005-01-01
"1600.00","White Maize","Nairobi",2005-02-02
"1500.00","White Maize","Nairobi",2005-03-03
"1500.00","White Maize","Nairobi",2005-04-04
"1500.00","White Maize","Nairobi",2005-05-05
"1510.00","White Maize","Nairobi",2005-06-06
"1480.00","White Maize","Nairobi",2005-07-07
"1500.00","White Maize","Nairobi",2005-08-08
"1200.00","White Maize","Nairobi",2005-09-09
"1500.00","White Maize","Nairobi",2005-10-10
"1550.00","White Maize","Nairobi",2005-11-11
"1600.00","White Maize","Nairobi",2005-12-12
"1399.00","White Maize","Nairobi",2006-01-01
"1488.00","White Maize","Nairobi",2006-02-02
"1500.00","White Maize","Nairobi",2006-03-03
